# Constructed from biom file
#OTU ID	Sample001	Sample002	Sample003	Sample010	Sample011	Sample012	Sample025	Sample026	Sample031	Sample032	Sample044	Sample045	Sample046	Sample047	Sample048	Sample049	Sample056	Sample057	Sample058	Sample065	Sample066	Sample067	Sample089	Sample090	Sample091	Sample095	Sample096	Sample097	Sample098	Sample099	Sample100	Sample101	Sample102	Sample103
Desulfovibrio	0	0	1	0	0	0	1	0	0	0	1	1	1	4	5	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Luteipulveratus	0	0	0	0	0	0	1	0	0	0	0	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodopseudomonas	2	0	0	0	0	0	0	0	0	0	1	1	1	6	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herbaspirillum	2	1	1	0	0	0	1	1	0	0	1	1	1	4	6	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Glycomyces	0	0	0	0	0	0	1	1	0	0	1	1	1	4	3	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
Kushneria	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	0	0	0	0	0	0	0	0	0	4	4	9	0	0	0	0	0	0
Erythrobacter	0	0	0	0	0	0	0	0	0	0	0	1	1	5	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria	10	7	5	0	0	0	0	3	0	0	1	1	1	2	3	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Zhihengliuella	0	0	0	0	0	0	1	0	0	0	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
Gulosibacter	0	0	0	0	0	0	1	1	0	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	2	1
Lysinimicrobium	0	0	0	0	0	0	1	1	0	1	1	2	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Oceanisphaera	0	0	0	0	0	0	0	0	0	0	2	2	0	1	2	1	0	0	0	0	0	0	0	0	0	1	5	2	0	0	0	0	0	0
Tersicoccus	0	0	0	0	0	0	1	0	0	0	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1
Cellulosimicrobium	0	0	0	0	0	0	1	1	0	1	1	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lentzea	0	0	0	0	0	0	1	1	0	0	1	1	1	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Salinispora	0	0	0	0	0	0	1	1	0	0	1	1	1	3	3	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1
Atlantibacter	10	9	7	0	2	3	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaistia	2	1	1	0	1	2	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseomonas	1	0	0	0	0	0	1	0	0	0	1	1	1	4	4	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Limnohabitans	0	0	0	0	0	0	0	0	0	0	1	0	1	3	4	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Lysinibacillus	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1
Erwinia	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Rhizobacter	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Isoptericola	0	0	0	0	0	0	1	1	0	1	1	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Caballeronia	0	0	0	0	0	0	1	0	0	0	1	1	1	5	6	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Aureimonas	0	0	0	0	0	0	1	0	0	0	0	0	1	6	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Duganella	0	1	2	0	0	0	0	0	0	0	1	1	1	3	4	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hymenobacter	0	0	0	0	0	0	0	0	0	0	1	1	1	3	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Marinococcus	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oleiagrimonas	0	0	0	0	0	0	0	0	0	0	1	2	1	5	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ensifer	4	2	2	0	0	0	0	0	0	0	0	0	1	5	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sinorhizobium	0	0	0	0	0	0	0	0	0	0	0	1	1	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sinomonas	0	0	0	0	0	0	1	0	0	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Streptosporangium	0	1	1	0	0	0	1	1	0	0	1	1	1	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Corallococcus	0	0	1	0	0	0	1	0	0	0	0	1	1	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruegeria	0	0	0	0	0	0	0	0	0	0	1	1	1	2	4	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Arenimonas	0	0	0	0	0	0	0	0	0	0	0	1	1	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Photobacterium	1	0	1	0	0	0	0	0	0	0	4	2	1	1	1	1	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0
Ralstonia	0	0	0	0	0	0	0	0	0	0	1	1	1	4	5	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Aminobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylocystis	0	0	0	0	0	0	0	0	0	0	0	0	0	28	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flexivirga	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodoferax	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Azoarcus	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Nitratireductor	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmobacter	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga	1	0	0	0	0	0	0	0	0	0	1	1	1	3	3	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Actinoalloteichus	0	0	0	0	0	0	1	0	0	0	1	1	1	3	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Advenella	0	0	0	0	0	0	0	0	0	0	1	0	0	23	3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Herbidospora	0	0	0	0	0	0	1	1	0	0	0	1	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbispora	0	0	0	0	0	0	1	0	0	0	0	1	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetospora	0	0	0	0	0	0	0	0	0	0	0	0	1	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Modestobacter	0	0	0	0	0	0	1	0	0	0	0	0	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microvirga	0	0	0	0	0	0	0	0	0	0	1	0	1	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodovulum	0	0	0	0	0	0	0	0	0	0	1	1	1	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helicobacter	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
Sorangium	1	0	1	0	0	0	1	0	0	0	0	1	1	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kutzneria	0	0	0	0	0	0	1	0	0	0	0	0	1	4	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Facklamia	10	6	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
Solimonas	0	0	0	0	0	0	0	0	0	0	1	1	1	5	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frateuria	0	0	0	0	0	0	0	0	0	0	1	1	1	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agreia	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoeflea	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frondihabitans	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phyllobacterium	0	0	0	0	0	0	1	0	0	0	0	0	0	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malikia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pelomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arenibacter	0	0	0	0	0	0	0	0	0	0	3	1	1	1	3	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0
Aquimarina	0	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	2	4	3	0	0	0	0	0	0
Pandoraea	0	0	0	0	0	0	0	0	0	0	1	1	1	3	4	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Solirubrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salinibacterium	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinobacterium	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	3	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0
Microbulbifer	0	0	0	0	0	0	0	0	0	0	1	0	1	2	3	2	0	0	0	0	0	0	1	1	1	1	1	2	0	0	0	0	0	0
Rubrivivax	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thioclava	0	0	0	0	0	0	0	0	0	0	1	1	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudooceanicola	0	0	0	0	0	0	0	0	0	0	1	1	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ideonella	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinopolyspora	0	0	0	0	0	0	1	0	0	0	1	1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Trichococcus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1
Microterricola	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rheinheimera	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Pseudopropionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kibdelosporangium	0	0	0	0	0	0	1	0	0	0	0	0	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cobetia	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	3	6	0	0	0	0	0	0
Defluviimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodopirellula	0	0	0	0	0	0	0	0	0	0	2	1	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lechevalieria	0	0	0	0	0	0	1	0	0	0	0	0	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus	2	10	6	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cedecea	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Dokdonella	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shinella	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conexibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromobacterium	0	0	0	0	0	0	0	0	0	0	1	1	1	3	3	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Nitrosococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Altererythrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Subtercola	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseivivax	0	0	0	0	0	0	0	0	0	0	1	1	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kosakonia	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phenylobacterium	3	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inquilinus	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jannaschia	0	0	0	0	0	0	0	0	0	0	1	1	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Patulibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maribacter	0	0	0	0	0	0	0	0	0	0	3	1	1	1	2	1	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0
Labedella	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycolicibacillus	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afipia	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloactinosynnema	0	0	0	0	0	0	1	0	0	0	0	0	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kineococcus	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidimonas	0	0	0	0	0	0	0	0	0	0	1	0	0	5	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Auritidibacter	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
Castellaniella	0	0	0	0	0	0	0	0	0	0	1	0	1	3	11	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Asanoa	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinopolymorpha	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylophaga	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Tabrizicola	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcaligenes	0	0	0	0	0	0	0	0	0	0	1	0	0	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polaribacter	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	4	3	0	0	0	0	0	0
Winogradskyella	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	4	3	0	0	0	0	0	0
Kribbia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Piscinibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herbiconiux	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Miniimonas	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudorhodoferax	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plantactinospora	0	0	0	0	0	0	1	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kineosporia	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schaalia	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tomitella	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Branchiibius	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delftia	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calidifontibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphaerisporangium	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquabacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muricauda	0	0	0	0	0	0	0	0	0	0	2	1	1	1	2	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0
Aquamicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pelagivirga	0	0	0	0	0	0	0	0	0	0	2	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pectobacterium	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Phaeobacter	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Auraticoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiomonas	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glaciibacter	0	0	0	0	0	0	0	0	0	0	1	1	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nigerium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Homoserinimonas	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sinobaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sporosarcina	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
Microcella	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oerskovia	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryptosporangium	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olsenella	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oceanimonas	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0
Ectothiorhodospira	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Labrenzia	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thalassospira	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Dechloromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tenacibaculum	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0
Granulicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loktanella	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gracilibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Actinosynnema	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leisingera	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salipiger	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Celeribacter	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sciscionella	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Neorhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Demetria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megasphaera	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnetospirillum	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pimelobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucosispora	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodoplanes	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spiribacter	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mizugakiibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gryllotalpicola	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinocorallia	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pararhodobacter	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klenkia	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
